日期,单位净值,复权单位净值,累计单位净值,收盘价,涨跌幅(%),申购状态
2020/7/31,1.291,17.8597,4.918,--,5.73,开放申购|开放赎回
2020/7/24,1.221,16.8914,4.848,--,-0.65,开放申购|开放赎回
2020/7/17,1.229,17.002,4.856,--,-0.24,开放申购|开放赎回
2020/7/10,1.232,17.0435,4.859,--,5.48,开放申购|开放赎回
2020/7/3,1.168,16.1582,4.795,--,5.42,开放申购|开放赎回
2020/6/24,1.108,15.3281,4.735,--,0.76,开放申购|开放赎回
2020/6/19,1.368,15.2123,4.728,--,2.93,暂停大额申购|开放赎回
2020/6/12,1.329,14.7786,4.689,--,0.68,暂停大额申购|开放赎回
2020/6/5,1.32,14.6785,4.68,--,0.69,暂停大额申购|开放赎回
2020/5/29,1.311,14.5784,4.671,--,2.9,暂停大额申购|开放赎回
2020/5/22,1.274,14.167,4.634,--,-0.78,开放申购|开放赎回
2020/5/15,1.284,14.2782,4.644,--,0.31,开放申购|开放赎回
2020/5/8,1.28,14.2337,4.64,--,2.65,开放申购|开放赎回
2020/4/30,1.247,13.8667,4.607,--,0.16,开放申购|开放赎回
2020/4/24,1.245,13.8445,4.605,--,1.97,开放申购|开放赎回
2020/4/17,1.221,13.5776,4.581,--,1.5,开放申购|开放赎回
2020/4/10,1.203,13.3775,4.563,--,1.52,开放申购|开放赎回
2020/4/3,1.185,13.1773,4.545,--,2.78,开放申购|开放赎回
2020/3/27,1.153,12.8215,4.513,--,2.85,开放申购|开放赎回
2020/3/20,1.121,12.4656,4.481,--,-3.28,开放申购|开放赎回
2020/3/13,1.159,12.8882,4.519,--,-3.9,开放申购|开放赎回
2020/3/6,1.206,13.4108,4.566,--,4.78,开放申购|开放赎回
2020/2/28,1.151,12.7992,4.511,--,-0.52,开放申购|开放赎回
2020/2/21,1.157,12.8659,4.517,--,3.21,开放申购|开放赎回
2020/2/14,1.121,12.4656,4.481,--,3.22,开放申购|开放赎回
2020/2/7,1.086,12.0764,4.446,--,0,开放申购|开放赎回
2020/1/23,1.086,12.0764,4.446,--,-3.47,开放申购|开放赎回
2020/1/17,1.125,12.5101,4.485,--,-0.62,开放申购|开放赎回
2020/1/10,1.132,12.5879,4.492,--,2.17,开放申购|开放赎回
2020/1/3,1.108,12.3211,4.468,--,1.37,开放申购|开放赎回
2019/12/27,1.093,12.1543,4.453,--,0.37,开放申购|开放赎回
2019/12/20,1.089,12.1098,4.449,--,-0.46,开放申购|开放赎回
2019/12/13,1.094,12.1654,4.454,--,-0.09,开放申购|开放赎回
2019/12/6,1.095,12.1765,4.455,--,2.34,开放申购|开放赎回
2019/11/29,1.07,11.8985,4.43,--,-1.83,开放申购|开放赎回
2019/11/22,1.09,12.1209,4.45,--,-1.27,开放申购|开放赎回
2019/11/15,1.104,12.2766,4.464,--,-0.81,开放申购|开放赎回
2019/11/8,1.113,12.3767,4.473,--,0.72,开放申购|开放赎回
2019/11/1,1.105,12.2877,4.465,--,1.01,开放申购|开放赎回
2019/10/25,1.094,12.1654,4.454,--,1.67,开放申购|开放赎回
2019/10/18,1.076,11.9652,4.436,--,0.28,开放申购|开放赎回
2019/10/11,1.073,11.9319,4.433,--,3.17,开放申购|开放赎回
2019/9/30,1.04,11.5649,4.4,--,-0.38,开放申购|开放赎回
2019/9/27,1.044,11.6094,4.404,--,-0.85,开放申购|开放赎回
2019/9/20,1.053,11.7094,4.413,--,0.57,开放申购|开放赎回
2019/9/12,1.422,11.6432,4.411,--,-0.63,暂停大额申购|开放赎回
2019/9/6,1.431,11.7169,4.42,--,0.99,暂停大额申购|开放赎回
2019/8/30,1.417,11.6023,4.406,--,0.64,暂停大额申购|开放赎回
2019/8/23,1.408,11.5286,4.397,--,1.88,暂停大额申购|开放赎回
2019/8/16,1.382,11.3157,4.371,--,1.92,暂停大额申购|开放赎回
2019/8/9,1.356,11.1028,4.345,--,-1.45,开放申购|开放赎回
2019/8/2,1.376,11.2666,4.365,--,-0.94,开放申购|开放赎回
2019/7/26,1.389,11.373,4.378,--,1.83,开放申购|开放赎回
2019/7/19,1.364,11.1683,4.353,--,0.15,开放申购|开放赎回
2019/7/12,1.362,11.152,4.351,--,-0.29,开放申购|开放赎回
2019/7/5,1.366,11.1847,4.355,--,1.41,开放申购|开放赎回
2019/6/28,1.347,11.0291,4.336,--,1.2,开放申购|开放赎回
2019/6/21,1.331,10.8981,4.32,--,3.42,开放申购|开放赎回
2019/6/14,1.287,10.5379,4.276,--,2.96,开放申购|开放赎回
2019/6/6,1.25,10.2349,4.239,--,-3.99,开放申购|开放赎回
2019/5/31,1.302,10.6607,4.291,--,4.41,开放申购|开放赎回
2019/5/24,1.247,10.2103,4.236,--,-2.96,开放申购|开放赎回
2019/5/17,1.285,10.5215,4.274,--,-0.93,开放申购|开放赎回
2019/5/10,1.297,10.6197,4.286,--,-3.35,开放申购|开放赎回
2019/4/30,1.342,10.9882,4.331,--,1.05,开放申购|开放赎回
2019/4/26,1.328,10.8736,4.317,--,-0.82,开放申购|开放赎回
2019/4/19,1.339,10.9636,4.328,--,2.76,开放申购|开放赎回
2019/4/12,1.303,10.6689,4.292,--,-1.96,开放申购|开放赎回
2019/4/4,1.329,10.8818,4.318,--,5.14,开放申购|开放赎回
2019/3/29,1.264,10.3495,4.253,--,2.93,开放申购|开放赎回
2019/3/22,1.228,10.0548,4.217,--,1.91,开放申购|开放赎回
2019/3/15,1.205,9.8664,4.194,--,0.58,开放申购|开放赎回
2019/3/8,1.198,9.8091,4.187,--,0.84,开放申购|开放赎回
2019/3/1,1.188,9.7273,4.177,--,3.94,开放申购|开放赎回
2019/2/22,1.143,9.3588,4.132,--,5.93,开放申购|开放赎回
2019/2/15,1.079,8.8348,4.068,--,3.55,开放申购|开放赎回
2019/2/1,1.042,8.5318,4.031,--,1.56,开放申购|开放赎回
2019/1/25,1.026,8.4008,4.015,--,0.29,开放申购|开放赎回
2019/1/18,1.023,8.3762,4.012,--,1.39,开放申购|开放赎回
2019/1/11,1.009,8.2616,3.998,--,2.33,开放申购|开放赎回
2019/1/4,0.986,8.0733,3.975,--,0.92,开放申购|开放赎回
2018/12/28,0.977,7.9996,3.966,--,0,开放申购|开放赎回
2018/12/21,0.977,7.9996,3.966,--,-2.88,开放申购|开放赎回
2018/12/14,1.006,8.2371,3.995,--,-0.2,开放申购|开放赎回
2018/12/7,1.008,8.2534,3.997,--,0,开放申购|开放赎回
2018/11/30,1.008,8.2534,3.997,--,1,开放申购|开放赎回
2018/11/23,0.998,8.1715,3.987,--,-3.39,开放申购|开放赎回
2018/11/16,1.033,8.4581,4.022,--,3.4,开放申购|开放赎回
2018/11/9,0.999,8.1797,3.988,--,-1.87,开放申购|开放赎回
2018/11/2,1.018,8.3353,4.007,--,3.67,开放申购|开放赎回
2018/10/26,0.982,8.0405,3.971,--,1.24,开放申购|开放赎回
2018/10/19,0.97,7.9423,3.959,--,-1.82,开放申购|开放赎回
2018/10/12,0.988,8.0897,3.977,--,-6.08,开放申购|开放赎回
2018/9/30,1.052,8.6137,4.041,--,0,开放申购|开放赎回
2018/9/28,1.052,8.6137,4.041,--,-0.75,开放申购|开放赎回
2018/9/21,1.06,8.6792,4.049,--,3.52,开放申购|开放赎回
2018/9/14,1.024,8.3844,4.013,--,-2.38,开放申购|开放赎回
2018/9/7,1.049,8.5891,4.038,--,-0.85,开放申购|开放赎回
2018/8/31,1.058,8.6628,4.047,--,0.47,开放申购|开放赎回
2018/8/24,1.053,8.6219,4.042,--,1.35,开放申购|开放赎回
2018/8/17,1.039,8.5073,4.028,--,-2.99,开放申购|开放赎回
2018/8/10,1.071,8.7693,4.06,--,1.23,开放申购|开放赎回
2018/8/3,1.058,8.6628,4.047,--,-3.99,开放申购|开放赎回
2018/7/27,1.102,9.0231,4.091,--,1.01,开放申购|开放赎回
2018/7/20,1.091,8.933,4.08,--,-0.09,开放申购|开放赎回
2018/7/13,1.092,8.9412,4.081,--,3.12,开放申购|开放赎回
2018/7/6,1.059,8.671,4.048,--,-2.75,开放申购|开放赎回
2018/6/29,1.089,8.9166,4.078,--,-1.45,开放申购|开放赎回
2018/6/22,1.105,9.0477,4.094,--,-2.04,开放申购|开放赎回
2018/6/15,1.128,9.236,4.117,--,-1.48,开放申购|开放赎回
2018/6/8,1.145,9.3752,4.134,--,2.78,开放申购|开放赎回
2018/6/1,1.114,9.1213,4.103,--,-1.76,开放申购|开放赎回
2018/5/25,1.134,9.2851,4.123,--,-1.73,开放申购|开放赎回
2018/5/18,1.154,9.4489,4.143,--,0.52,开放申购|开放赎回
2018/5/11,1.148,9.3997,4.137,--,0.44,开放申购|开放赎回
2018/5/4,1.143,9.3588,4.132,--,0.35,开放申购|开放赎回
2018/4/27,1.139,9.326,4.128,--,-0.52,开放申购|开放赎回
2018/4/20,1.145,9.3752,4.134,--,-0.87,开放申购|开放赎回
2018/4/13,1.155,9.4571,4.144,--,0.87,开放申购|开放赎回
2018/4/4,1.145,9.3752,4.134,--,-1.63,开放申购|开放赎回
2018/3/30,1.164,9.5307,4.153,--,3.1,开放申购|开放赎回
2018/3/23,1.129,9.2442,4.118,--,-5.52,开放申购|开放赎回
2018/3/16,1.195,9.7846,4.184,--,-0.42,开放申购|开放赎回
2018/3/9,1.2,9.8255,4.189,--,1.52,开放申购|开放赎回
2018/3/2,1.182,9.6781,4.171,--,-0.25,开放申购|开放赎回
2018/2/23,1.185,9.7027,4.174,--,3.49,开放申购|开放赎回
2018/2/14,1.145,9.3752,4.134,--,4.19,开放申购|开放赎回
2018/2/9,1.099,8.9985,4.088,--,-7.88,开放申购|开放赎回
2018/2/2,1.193,9.7682,4.182,--,-0.83,开放申购|开放赎回
2018/1/26,1.203,9.8501,4.192,--,0.84,开放申购|开放赎回
2018/1/19,1.193,9.7682,4.182,--,-1.73,开放申购|开放赎回
2018/1/12,1.214,9.9401,4.203,--,-0.82,开放申购|开放赎回
2018/1/5,1.224,10.022,4.213,--,2.43,开放申购|开放赎回
2017/12/29,1.195,9.7846,4.184,--,-0.58,开放申购|开放赎回
2017/12/22,1.202,9.8419,4.191,--,2.21,开放申购|开放赎回
2017/12/15,1.176,9.629,4.165,--,0.17,开放申购|开放赎回
2017/12/8,1.174,9.6126,4.163,--,-0.34,开放申购|开放赎回
2017/12/1,1.178,9.6454,4.167,--,0.94,开放申购|开放赎回
2017/11/24,1.167,9.5553,4.156,--,-1.6,开放申购|开放赎回
2017/11/17,1.186,9.7109,4.175,--,-0.17,开放申购|开放赎回
2017/11/10,1.188,9.7273,4.177,--,3.13,开放申购|开放赎回
2017/11/3,1.152,9.4325,4.141,--,-1.62,开放申购|开放赎回
2017/10/27,1.171,9.5881,4.16,--,1.21,开放申购|开放赎回
2017/10/20,1.157,9.4734,4.146,--,-1.28,开放申购|开放赎回
2017/10/13,1.172,9.5962,4.161,--,0.51,开放申购|开放赎回
2017/9/30,1.166,9.5471,4.155,--,0,开放申购|开放赎回
2017/9/29,1.166,9.5471,4.155,--,1.3,开放申购|开放赎回
2017/9/22,1.151,9.4243,4.14,--,-2.21,开放申购|开放赎回
2017/9/15,1.177,9.6372,4.166,--,-0.42,开放申购|开放赎回
2017/9/8,1.182,9.6781,4.171,--,0.6,开放申购|开放赎回
2017/9/1,1.175,9.6208,4.164,--,3.98,开放申购|开放赎回
2017/8/25,1.13,9.2524,4.119,--,1.62,开放申购|开放赎回
2017/8/18,1.112,9.105,4.101,--,1.55,开放申购|开放赎回
2017/8/11,1.095,8.9658,4.084,--,-2.23,开放申购|开放赎回
2017/8/4,1.12,9.1705,4.109,--,0.27,开放申购|开放赎回
2017/7/28,1.117,9.1459,4.106,--,-0.45,开放申购|开放赎回
2017/7/21,1.122,9.1869,4.111,--,0.9,开放申购|开放赎回
2017/7/14,1.112,9.105,4.101,--,-2.46,开放申购|开放赎回
2017/7/7,1.14,9.3342,4.129,--,1.24,开放申购|开放赎回
2017/6/30,1.126,9.2196,4.115,--,1.35,开放申购|开放赎回
2017/6/23,1.111,9.0968,4.1,--,0.82,开放申购|开放赎回
2017/6/16,1.102,9.0231,4.091,--,0.82,开放申购|开放赎回
2017/6/9,1.093,8.9494,4.082,--,4.19,开放申购|开放赎回
2017/6/2,1.049,8.5891,4.038,--,-1.32,开放申购|开放赎回
2017/5/26,1.063,8.7038,4.052,--,-1.67,开放申购|开放赎回
2017/5/19,1.081,8.8511,4.07,--,0.93,开放申购|开放赎回
2017/5/12,1.071,8.7693,4.06,--,-1.47,开放申购|开放赎回
2017/5/5,1.087,8.9003,4.076,--,-1.63,开放申购|开放赎回
2017/4/28,1.105,9.0477,4.094,--,-0.54,开放申购|开放赎回
2017/4/21,1.111,9.0968,4.1,--,-3.14,开放申购|开放赎回
2017/4/14,1.147,9.3915,4.136,--,-1.29,开放申购|开放赎回
2017/4/7,1.162,9.5144,4.151,--,2.83,开放申购|开放赎回
2017/3/31,1.13,9.2524,4.119,--,-2.08,开放申购|开放赎回
2017/3/24,1.154,9.4489,4.143,--,-0.09,开放申购|开放赎回
2017/3/17,1.155,9.4571,4.144,--,0.7,开放申购|开放赎回
2017/3/10,1.147,9.3915,4.136,--,-0.09,开放申购|开放赎回
2017/3/3,1.148,9.3997,4.137,--,-0.09,开放申购|开放赎回
2017/2/24,1.149,9.4079,4.138,--,2.04,开放申购|开放赎回
2017/2/17,1.126,9.2196,4.115,--,-0.62,开放申购|开放赎回
2017/2/10,1.133,9.2769,4.122,--,1.71,开放申购|开放赎回
2017/2/3,1.114,9.1213,4.103,--,-0.36,开放申购|开放赎回
2017/1/26,1.118,9.1541,4.107,--,1.54,开放申购|开放赎回
2017/1/20,1.101,9.0149,4.09,--,-1.78,开放申购|开放赎回
2017/1/13,1.121,9.1787,4.11,--,-1.06,开放申购|开放赎回
2017/1/6,1.133,9.2769,4.122,--,0.27,开放申购|开放赎回
2016/12/30,1.13,9.2524,4.119,--,-0.18,开放申购|开放赎回
2016/12/23,1.132,9.2687,4.121,--,-1.14,开放申购|开放赎回
2016/12/16,1.145,9.3752,4.134,--,-3.29,开放申购|开放赎回
2016/12/9,1.184,9.6945,4.173,--,0.25,开放申购|开放赎回
2016/12/2,1.181,9.6699,4.17,--,-2.56,开放申购|开放赎回
2016/11/25,1.212,9.9238,4.201,--,0.58,开放申购|开放赎回
2016/11/18,1.205,9.8664,4.194,--,-0.33,开放申购|开放赎回
2016/11/11,1.209,9.8992,4.198,--,2.11,开放申购|开放赎回
2016/11/4,1.184,9.6945,4.173,--,1.2,开放申购|开放赎回
2016/10/28,1.17,9.5799,4.159,--,-0.09,开放申购|开放赎回
2016/10/21,1.171,9.5881,4.16,--,0.77,开放申购|开放赎回
2016/10/14,1.162,9.5144,4.151,--,1.31,开放申购|开放赎回
2016/9/30,1.147,9.3915,4.136,--,-0.52,开放申购|开放赎回
2016/9/23,1.153,9.4407,4.142,--,1.05,开放申购|开放赎回
2016/9/14,1.141,9.3424,4.13,--,-2.06,开放申购|开放赎回
2016/9/9,1.165,9.5389,4.154,--,0.78,开放申购|开放赎回
2016/9/2,1.156,9.4652,4.145,--,-1.7,开放申购|开放赎回
2016/8/26,1.176,9.629,4.165,--,-1.26,开放申购|开放赎回
2016/8/19,1.191,9.7518,4.18,--,2.94,开放申购|开放赎回
2016/8/12,1.157,9.4734,4.146,--,0.78,开放申购|开放赎回
2016/8/5,1.148,9.3997,4.137,--,-0.09,开放申购|开放赎回
2016/7/29,1.149,9.4079,4.138,--,-3.85,开放申购|开放赎回
2016/7/22,1.195,9.7846,4.184,--,-0.08,开放申购|开放赎回
2016/7/15,1.196,9.7928,4.185,--,1.53,开放申购|开放赎回
2016/7/8,1.178,9.6454,4.167,--,1.99,开放申购|开放赎回
2016/7/1,1.155,9.4571,4.144,--,2.94,开放申购|开放赎回
2016/6/24,1.122,9.1869,4.111,--,0.9,开放申购|开放赎回
2016/6/17,1.112,9.105,4.101,--,-0.98,开放申购|开放赎回
2016/6/8,1.123,9.195,4.112,--,-0.44,开放申购|开放赎回
2016/6/3,1.128,9.236,4.117,--,6.92,开放申购|开放赎回
2016/5/27,1.055,8.6383,4.044,--,1.34,开放申购|开放赎回
2016/5/20,1.041,8.5236,4.03,--,1.07,开放申购|开放赎回
2016/5/13,1.03,8.4336,4.019,--,-3.74,开放申购|开放赎回
2016/5/6,1.07,8.7611,4.059,--,1.23,开放申购|开放赎回
2016/4/29,1.057,8.6546,4.046,--,-0.09,开放申购|开放赎回
2016/4/22,1.058,8.6628,4.047,--,-5.03,开放申购|开放赎回
2016/4/15,1.114,9.1213,4.103,--,4.4,开放申购|开放赎回
2016/4/8,1.067,8.7365,4.056,--,-0.37,开放申购|开放赎回
2016/4/1,1.071,8.7693,4.06,--,0.37,开放申购|开放赎回
2016/3/25,1.067,8.7365,4.056,--,3.49,开放申购|开放赎回
2016/3/18,1.031,8.4417,4.02,--,10.74,暂停大额申购|开放赎回
2016/3/11,0.931,7.623,3.92,--,-1.69,暂停大额申购|开放赎回
2016/3/4,0.947,7.754,3.936,--,-3.47,暂停大额申购|开放赎回
2016/2/26,0.981,8.0324,3.97,--,-9,暂停大额申购|开放赎回
2016/2/19,1.078,8.8266,4.067,--,6.1,暂停大额申购|开放赎回
2016/2/5,1.016,8.3189,4.005,--,6.28,开放申购|开放赎回
2016/1/29,0.956,7.8277,3.945,--,-4.59,开放申购|开放赎回
2016/1/22,1.45,8.2039,4.003,--,-0.41,开放申购|开放赎回
2016/1/15,1.456,8.2378,4.009,--,-9.34,开放申购|开放赎回
2016/1/8,1.606,9.0865,4.159,--,-14.48,开放申购|开放赎回
2015/12/31,1.878,10.6254,4.431,--,-1,开放申购|开放赎回
2015/12/25,1.897,10.7329,4.45,--,1.44,开放申购|开放赎回
2015/12/18,1.87,10.5802,4.423,--,6.19,开放申购|开放赎回
2015/12/11,1.761,9.9635,4.314,--,-2.11,开放申购|开放赎回
2015/12/4,1.799,10.1785,4.352,--,1.93,开放申购|开放赎回
2015/11/27,1.765,9.9861,4.318,--,-4.18,开放申购|开放赎回
2015/11/20,1.842,10.4218,4.395,--,3.14,开放申购|开放赎回
2015/11/13,1.786,10.1049,4.339,--,0.39,开放申购|开放赎回
2015/11/6,1.779,10.0653,4.332,--,7.69,开放申购|开放赎回
2015/10/30,1.652,9.3468,4.205,--,0.61,开放申购|开放赎回
2015/10/23,1.642,9.2902,4.195,--,3.4,开放申购|开放赎回
2015/10/16,1.588,8.9847,4.141,--,7.95,开放申购|开放赎回
2015/10/9,1.471,8.3227,4.024,--,4.62,开放申购|开放赎回
2015/9/30,1.406,7.9549,3.959,--,2.78,开放申购|开放赎回
2015/9/25,1.368,7.7399,3.921,--,1.33,开放申购|开放赎回
2015/9/18,1.35,7.6381,3.903,--,-4.05,开放申购|开放赎回
2015/9/11,1.407,7.9606,3.96,--,4.69,开放申购|开放赎回
2015/9/2,1.344,7.6041,3.897,--,-7.05,开放申购|开放赎回
2015/8/28,1.446,8.1813,3.999,--,-9.34,开放申购|开放赎回
2015/8/21,1.595,9.0243,4.148,--,-10.54,开放申购|开放赎回
2015/8/14,1.783,10.0879,4.336,--,6,开放申购|开放赎回
2015/8/7,1.682,9.5165,4.235,--,1.69,开放申购|开放赎回
2015/7/31,1.654,9.3581,4.207,--,-7.13,开放申购|开放赎回
2015/7/24,1.781,10.0766,4.334,--,3.49,开放申购|开放赎回
2015/7/17,1.721,9.7372,4.274,--,9.13,开放申购|开放赎回
2015/7/10,1.577,8.9224,4.13,--,-0.82,开放申购|开放赎回
2015/7/3,1.59,8.996,4.143,--,-10.57,开放申购|开放赎回
2015/6/26,1.778,10.0597,4.331,--,-8.87,开放申购|开放赎回
2015/6/19,1.951,11.0385,4.504,--,-12.24,开放申购|开放赎回
2015/6/12,2.223,12.5774,4.776,--,3.2,开放申购|开放赎回
2015/6/5,2.154,12.187,4.707,--,7.27,开放申购|开放赎回
2015/5/29,2.008,11.361,4.561,--,-1.38,开放申购|开放赎回
2015/5/22,2.036,11.5194,4.589,--,10.47,开放申购|开放赎回
